index,accommodates,amenities,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,amenities__Wireless_Internet,amenities__Fire_Extinguisher,amenities__Laptop_Friendly_Workspace,amenities__Heating,amenities__Wheelchair_Accessible,amenities__Elevator_in_Building,amenities__Dog(s),amenities__Cat(s),amenities__Washer_/_Dryer,amenities__Smoking_Allowed,amenities__First_Aid_Kit,amenities__Pets_live_on_this_property,amenities__Pool,amenities__Lock_on_Bedroom_Door,amenities__Smoke_Detector,amenities__Shampoo,amenities__Buzzer/Wireless_Intercom,amenities__Safety_Card,amenities__Breakfast,amenities__Other_pet(s),amenities__Indoor_Fireplace,amenities__Iron,amenities__Hair_Dryer,amenities__Gym,amenities__Family/Kid_Friendly,amenities__Internet,amenities__Hot_Tub,amenities__Washer,amenities__Dryer,amenities__Pets_Allowed,amenities__24-Hour_Check-in,amenities__Cable_TV,amenities__Air_Conditioning,amenities__Hangers,amenities__Doorman,amenities__Essentials,amenities__Carbon_Monoxide_Detector,amenities__Suitable_for_Events,amenities__Free_Parking_on_Premises,amenities__TV,amenities__Kitchen,lbl_bed_type,lbl_cancellation_policy,lbl_has_availability,lbl_host_is_superhost,lbl_instant_bookable,lbl_property_type,lbl_room_type,index,price
1485,8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",22,2.0,Real Bed,3.0,3.0,2,strict,1,t,f,301.0,f,22.64038496,114.1835356,1125,1,House,10.0,10.0,10.0,100.0,10.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,4,3,0,0,0,9,0,1485,899.0
1486,12,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",30,4.0,Real Bed,5.0,9.0,4,flexible,1,t,t,4.0,f,22.63836332,114.1778435,3,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,4,0,0,2,0,9,0,1486,1725.0
1487,5,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials}",1,1.5,Real Bed,2.0,2.0,1,moderate,1,t,f,1.0,f,22.618298,114.1775978,1125,1,House,10.0,10.0,10.0,100.0,8.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,4,1,0,0,0,9,0,1487,300.0
1488,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",30,1.0,Real Bed,1.0,1.0,1,flexible,1,t,f,1.0,f,22.6394053,114.1823947,1125,0,Bungalow,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,4,0,0,0,0,3,0,1488,225.0
1489,2,"{""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials}",28,1.0,Real Bed,1.0,1.0,1,moderate,1,t,f,1.0,f,22.6393506,114.1905768,1125,1,Apartment,10.0,10.0,10.0,100.0,10.0,Private room,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,1,0,0,0,0,1,1489,200.0
1490,5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",30,1.0,Real Bed,1.0,3.0,9,strict,1,t,t,12.0,f,22.62333117,114.185739,7,0,Apartment,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,4,3,0,2,0,0,0,1490,395.0
1491,8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer}",30,2.0,Real Bed,3.0,4.0,1,strict,1,t,f,1.0,f,22.63369889,114.1856543,14,1,House,10.0,10.0,8.0,97.0,10.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,4,3,0,0,0,9,0,1491,900.0
1492,10,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",18,2.5,Real Bed,5.0,6.0,1,strict,1,t,t,1.0,f,22.6186244,114.172888,1125,17,House,10.0,10.0,9.0,99.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,4,3,0,2,0,9,0,1492,949.0
1493,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",30,2.0,Real Bed,3.0,3.0,1,moderate,1,t,f,1.0,f,22.64336431,114.1929377,30,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,4,1,0,0,0,9,0,1493,595.0
1494,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Heating,Washer,Dryer,Essentials,Shampoo}",0,1.0,Pull-out Sofa,1.0,1.0,1,flexible,1,t,f,1.0,f,22.61848698,114.181277,1125,2,House,10.0,10.0,10.0,100.0,10.0,Private room,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,3,0,0,0,0,9,1,1494,140.0
1495,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",30,1.0,Real Bed,2.0,2.0,1,strict,4,t,f,1.0,f,22.61466433,114.1849152,14,5,House,10.0,10.0,10.0,100.0,9.0,Entire home/apt,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,4,3,0,0,0,9,0,1495,225.0
1496,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",10,1.0,Real Bed,1.0,1.0,1,moderate,1,t,t,1.0,f,22.62289452,114.1726394,1125,49,House,10.0,10.0,10.0,99.0,10.0,Private room,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,4,1,0,2,0,9,1,1496,80.0
1497,4,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,Essentials,Shampoo}",30,1.0,Real Bed,1.0,2.0,1,flexible,1,t,f,1.0,f,22.61564569,114.1818116,10,0,Apartment,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,1497,600.0
1498,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",26,2.5,Real Bed,3.0,4.0,7,strict,1,t,f,339.0,f,22.62411598,114.1768887,1125,3,House,9.0,10.0,8.0,93.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,4,3,0,0,0,9,0,1498,222.0
1499,2,"{""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer}",30,1.0,Real Bed,1.0,1.0,1,moderate,1,t,f,1.0,f,22.62195757,114.1703423,30,0,Loft,9.0,9.0,9.0,95.0,9.0,Private room,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,11,1,1499,300.0
1500,3,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",23,1.0,Real Bed,2.0,2.0,1,strict,2,t,f,1.0,f,22.62112218,114.1748981,1125,31,House,10.0,10.0,10.0,93.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,4,3,0,0,0,9,0,1500,104.0
1501,3,"{TV,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Smoke Detector"",Essentials}",28,1.0,Real Bed,1.0,1.0,1,moderate,2,t,f,1.0,f,22.61654166,114.1809121,1125,5,Apartment,10.0,10.0,9.0,92.0,8.0,Entire home/apt,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,4,1,0,0,0,0,0,1501,140.0
1502,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",30,2.0,Real Bed,2.0,2.0,1,moderate,1,t,f,1.0,f,22.64321898,114.1873326,1125,4,House,10.0,10.0,10.0,95.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,4,1,0,0,0,9,0,1502,275.0
1503,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Pets live on this property"",Dog(s),""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Shampoo,""24-Hour Check-in"",""Hair Dryer"",""Laptop Friendly Workspace""}",14,1.0,Real Bed,1.0,2.0,1,flexible,1,t,f,1.0,t,22.60976388,114.1888207,1125,0,Apartment,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,4,0,0,0,1,0,0,1503,259.0
1504,6,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",17,1.0,Real Bed,1.0,3.0,5,strict,4,t,f,5.0,t,22.61390599,114.1876073,1125,82,Apartment,10.0,10.0,9.0,92.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,4,3,0,0,1,0,0,1504,119.0
1505,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector""}",16,1.0,Real Bed,1.0,1.0,1,flexible,1,t,t,1.0,f,22.61603012,114.1837047,1125,35,Condominium,10.0,10.0,10.0,100.0,10.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,4,0,0,2,0,7,0,1505,145.0
1506,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",Shampoo}",14,1.0,Real Bed,1.0,1.0,2,moderate,1,t,f,2.0,t,22.6314293,114.1839538,1125,78,Apartment,10.0,10.0,9.0,96.0,10.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,4,1,0,0,1,0,0,1506,109.0
1507,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Pets live on this property"",Dog(s),""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",30,1.0,Real Bed,1.0,1.0,1,strict,1,t,f,1.0,f,22.61311904,114.179253,1125,0,Apartment,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,4,3,0,0,0,0,0,1507,249.0
1508,2,"{Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",7,1.0,Real Bed,1.0,1.0,1,strict,1,t,t,1.0,t,22.62009289,114.1866886,14,28,House,10.0,10.0,10.0,99.0,10.0,Private room,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,4,3,0,2,1,9,1,1508,85.0
1509,8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",19,2.0,Real Bed,3.0,4.0,7,strict,1,t,f,339.0,f,22.61711977,114.176979,185,8,Apartment,10.0,10.0,9.0,94.0,10.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,4,3,0,0,0,0,0,1509,450.0
1510,5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly""}",30,1.0,Real Bed,2.0,3.0,1,moderate,4,t,f,1.0,f,22.63224812,114.1795806,14,7,House,10.0,10.0,9.0,97.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4,1,0,0,0,9,0,1510,400.0
1511,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",30,2.0,Real Bed,2.0,2.0,1,moderate,6,t,f,1.0,f,22.63998681,114.1858715,1125,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,4,1,0,0,0,9,0,1511,450.0
1512,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Elevator in Building"",Heating,""Smoke Detector"",""Fire Extinguisher"",Essentials}",16,1.0,Futon,1.0,1.0,1,flexible,1,t,f,2.0,t,22.61394794,114.184612,1125,7,Apartment,10.0,10.0,9.0,100.0,10.0,Shared room,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0,0,0,1,0,2,1512,45.0
1513,3,"{Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",15,1.0,Real Bed,1.0,1.0,1,strict,2,t,t,1.0,f,22.62441357,114.1832749,30,29,Villa,10.0,10.0,10.0,99.0,10.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,3,0,2,0,17,0,1513,108.0
1514,5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials}",30,2.0,Real Bed,2.0,3.0,2,strict,4,t,t,2.0,f,22.61785736,114.1888557,10,4,House,10.0,9.0,10.0,100.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,4,3,0,2,0,9,0,1514,1695.0
1515,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",0,3.0,Real Bed,3.0,3.0,1,flexible,1,t,f,1.0,f,22.64497922,114.178155,1125,6,House,10.0,8.0,10.0,96.0,10.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,4,0,0,0,0,9,0,1515,319.0
1516,12,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer}",30,4.0,Real Bed,5.0,5.0,1,strict,1,t,f,1.0,t,22.63516118,114.1661003,10,1,House,10.0,10.0,10.0,100.0,10.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,4,3,0,0,1,9,0,1516,1500.0
1517,6,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",17,1.0,Real Bed,2.0,3.0,1,strict,2,t,f,3.0,f,22.63183272,114.1723883,14,31,House,10.0,10.0,10.0,99.0,10.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,4,3,0,0,0,9,0,1517,225.0
1518,2,"{Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Fire Extinguisher"",Essentials,Shampoo}",0,1.0,Real Bed,1.0,1.0,1,flexible,1,t,f,1.0,f,22.63898253,114.1716725,1125,1,House,10.0,10.0,10.0,100.0,9.0,Private room,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,9,1,1518,150.0
1519,4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",30,1.0,Real Bed,1.0,1.0,1,strict,1,t,f,1.0,f,22.61629786,114.1911503,90,23,Apartment,9.0,10.0,9.0,91.0,8.0,Private room,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,4,3,0,0,0,0,1,1519,80.0
1520,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",15,1.0,Real Bed,0.0,1.0,1,flexible,2,t,f,1.0,f,22.6195353,114.1849191,30,3,House,10.0,10.0,10.0,100.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,4,0,0,0,0,9,0,1520,124.0
1521,7,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",3,1.5,Real Bed,2.0,4.0,1,strict,7,t,f,1.0,f,22.61818413,114.1859242,1125,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,4,3,0,0,0,9,0,1521,400.0
1522,5,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",28,2.0,Real Bed,2.0,2.0,1,moderate,1,t,f,1.0,f,22.62810722,114.1733695,7,9,Condominium,10.0,10.0,10.0,96.0,10.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,4,1,0,0,0,7,0,1522,450.0
1523,5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",0,1.0,Real Bed,3.0,2.0,1,flexible,1,t,f,1.0,f,22.64203218,114.1863866,1125,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,4,0,0,0,0,9,0,1523,750.0
1524,4,"{""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events""}",30,1.0,Real Bed,2.0,2.0,3,moderate,1,t,f,3.0,f,22.61887133,114.1883626,14,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,9,0,1524,750.0
1525,4,"{""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",30,1.0,Real Bed,1.0,1.0,1,flexible,1,t,f,1.0,f,22.61581847,114.1796486,1125,0,Apartment,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,1525,650.0
1526,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",Essentials,Shampoo}",20,1.0,Real Bed,1.0,2.0,1,moderate,2,t,f,1.0,f,22.636322,114.1937778,1125,41,House,10.0,10.0,10.0,99.0,10.0,Private room,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,4,1,0,0,0,9,1,1526,99.0
1527,4,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",12,1.0,Real Bed,1.0,2.0,1,strict,1,t,f,1.0,f,22.6150098,114.1807098,365,18,Apartment,10.0,10.0,10.0,91.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,4,3,0,0,0,0,0,1527,97.0
